# x, y(x)
2.62,0.0152417781702469
2.625,0.0148526773485058
2.63,0.0144730945133867
2.635,0.0141028095241647
2.64,0.0137416068800882
2.645,0.013389275640083
2.65,0.0130456093431597
2.655,0.0127104059295488
2.66,0.012383467662582
2.665,0.012064601051341
2.67,0.0117536167740902
2.675,0.0114503296025113
2.68,0.0111545583267547
2.685,0.0108661256813225
2.69,0.0105848582717945
2.695,0.0103105865024119
2.7,0.0100431445045265
2.705,0.00978237006592792
2.71,0.00952810456105492
2.715,0.0092801928821005
2.72,0.00903848337101638
2.725,0.00880282775242312
2.73,0.00857308106743032
2.735,0.00834910160837138
2.74,0.0081307508544555
2.745,0.00791789340833976
2.75,0.00771039693362224
2.755,0.00750813209325763
2.76,0.00731097248889512
2.765,0.00711879460113797
2.77,0.00693147773072385
2.775,0.00674890394062368
2.78,0.00657095799905708
2.785,0.00639752732342089
2.79,0.00622850192512775
2.795,0.00606377435535017
2.8,0.00590323965166601
2.805,0.00574679528560014
2.81,0.00559434111105691
2.815,0.00544577931363749
2.82,0.00530101436083599
2.825,0.00515995295310761
2.83,0.00502250397580203
2.835,0.00488857845195444
2.84,0.00475808949592698
2.845,0.00463095226789246
2.85,0.00450708392915244
2.855,0.00438640359828088
2.86,0.00426883230808519
2.865,0.00415429296337561
2.87,0.00404271029953386
2.875,0.00393401084187192
2.88,0.00382812286577156
2.885,0.00372497635759507
2.89,0.00362450297635756
2.895,0.00352663601615105
2.9,0.00343131036931035
2.905,0.00333846249031102
2.91,0.00324803036038901
2.915,0.00315995345287227
2.92,0.00307417269921364
2.925,0.0029906304557153
2.93,0.00290927047093417
2.935,0.00283003785375821
2.94,0.00275287904214305
2.945,0.00267774177249901
2.95,0.00260457504971784
2.955,0.00253332911782921
2.96,0.00246395543127642
2.965,0.00239640662680127
2.97,0.00233063649592788
2.975,0.00226659995803514
2.98,0.00220425303400789
2.985,0.00214355282045658
2.99,0.00208445746449557
2.995,0.00202692613907008
3,0.00197091901882187
3.005,0.00191639725648391
3.01,0.00186332295979446
3.015,0.00181165916892071
3.02,0.00176136983438265
3.025,0.00171241979546761
3.03,0.00166477475912618
3.035,0.00161840127934034
3.04,0.00157326673695448
3.045,0.00152933931996046
3.05,0.00148658800422769
3.055,0.00144498253466941
3.06,0.00140449340683651
3.065,0.00136509184893024
3.07,0.00132674980422541
3.075,0.00128943991389564
3.08,0.00125313550023244
3.085,0.00121781055024999
3.09,0.00118343969966768
3.095,0.00114999821726241
3.1,0.00111746198958297
3.105,0.00108580750601877
3.11,0.00105501184421554
3.115,0.00102505265583043
3.12,0.000995908152619356
3.125,0.000967557092849341
3.13,0.000939978768028884
3.135,0.000913152989949401
3.14,0.000887060078030954
3.145,0.000861680846965584
3.15,0.000836996594651687
3.155,0.000812989090413027
3.16,0.000789640563496002
3.165,0.000766933691839042
3.17,0.000744851591107971
3.175,0.000723377803991422
3.18,0.000702496289750415
3.185,0.000682191414016378
3.19,0.000662447938831942
3.195,0.000643251012929035
3.2,0.00062458616223884
3.205,0.000606439280628308
3.21,0.000588796620858048
3.215,0.000571644785756497
3.22,0.000554970719605386
3.225,0.000538761699731628
3.23,0.000523005328300827
3.235,0.00050768952430776
3.24,0.000492802515759226
3.245,0.000478332832044798
3.25,0.000464269296491068
3.255,0.000450601019095124
3.26,0.00043731738943303
3.265,0.000424408069739223
3.27,0.000411862988152793
3.275,0.000399672332126727
3.28,0.000387826541996269
3.285,0.000376316304702641
3.29,0.000365132547668459
3.295,0.000354266432821226
3.3,0.000343709350761433
3.305,0.000333452915071801
3.31,0.000323488956764333
3.315,0.000313809518861889
3.32,0.000304406851111082
3.325,0.000295273404823381
3.33,0.000286401827841344
3.335,0.000277784959627008
3.34,0.000269415826469525
3.345,0.000261287636809175
3.35,0.000253393776674999
3.355,0.000245727805233312
3.36,0.000238283450444464
3.365,0.000231054604825229
3.37,0.000224035321314331
3.375,0.000217219809238591
3.38,0.000210602430377321
3.385,0.000204177695122586
3.39,0.000197940258733045
3.395,0.000191884917679122
3.4,0.000186006606077315
3.405,0.000180300392211506
3.41,0.00017476147513918
3.415,0.000169385181380521
3.42,0.000164166961688381
3.425,0.000159102387897203
3.43,0.000154187149848969
3.435,0.000149417052394361
3.44,0.000144788012467296
3.445,0.00014029605623109
3.45,0.000135937316294523
3.455,0.000131708028996137
3.46,0.000127604531755107
3.465,0.000123623260487112
3.47,0.00011976074708362
3.475,0.000116013616953088
3.48,0.000112378586622562
3.485,0.000108852461398253
3.49,0.00010543213308366
3.495,0.000102114577753855
3.5,9.88968535845909E-05
3.505,9.57760987349043E-05
3.51,9.27495292819421E-05
3.515,8.98144372067473E-05
3.52,8.69681884297847E-05
3.525,8.42082208950119E-05
3.53,8.15320427013302E-05
3.535,7.8937230280277E-05
3.54,7.64214266188522E-05
