#x,errorFunction
-1.15,-0.896852365419479
-1.14,-0.893838154286864
-1.13,-0.890754565608633
-1.12,-0.887600625969943
-1.11,-0.884375367513383
-1.1,-0.881077828610321
-1.09,-0.87770705454056
-1.08,-0.874262098179751
-1.07,-0.870742020693991
-1.06,-0.867145892241015
-1.05,-0.863472792677361
-1.04,-0.859721812270883
-1.03,-0.855892052417951
-1.02,-0.851982626364668
-1.01,-0.84799265993141
-1,-0.842729958487199
-0.99,-0.838535081515758
-0.98,-0.834256467002215
-0.97,-0.829893308441037
-0.96,-0.825444817501522
-0.95,-0.820910224872189
-0.94,-0.816288781106077
-0.93,-0.811579757466097
-0.92,-0.806750169857686
-0.91,-0.801865388640364
-0.9,-0.79689092483162
-0.89,-0.791826141635584
-0.88,-0.786670427193117
-0.87,-0.781423195407013
-0.86,-0.776083886760953
-0.85,-0.770651969131295
-0.84,-0.765126938590745
-0.83,-0.759508320202938
-0.82,-0.753795668806988
-0.81,-0.747988569791027
-0.8,-0.74208663985377
-0.79,-0.73608952775315
-0.78,-0.729996915041029
-0.77,-0.723808516783054
-0.76,-0.717524082262662
-0.75,-0.711143395668304
-0.74,-0.704666276762916
-0.73,-0.698092581534703
-0.72,-0.691422202828304
-0.71,-0.6846550709554
-0.7,-0.677791154283859
-0.69,-0.670830459804529
-0.68,-0.663773033674764
-0.67,-0.656618961737848
-0.66,-0.649368370017437
-0.65,-0.642021425186199
-0.64,-0.634578335007845
-0.63,-0.627039348751733
-0.62,-0.619404757579313
-0.61,-0.61167489490164
-0.6,-0.603850136707248
-0.59,-0.595930901859692
-0.58,-0.5879176523641
-0.57,-0.579810893602089
-0.56,-0.571611174534455
-0.55,-0.563319087871056
-0.54,-0.554935270207361
-0.53,-0.546460402127144
-0.52,-0.537895208270875
-0.51,-0.529240457369359
-0.5,-0.520450833623745
-0.49,-0.511623228007284
-0.48,-0.502708424168303
-0.47,-0.493707370300112
-0.46,-0.484621058990953
-0.45,-0.475450526977237
-0.44,-0.466196854861551
-0.43,-0.456861166795414
-0.42,-0.447444630126877
-0.41,-0.437948455013021
-0.4,-0.4283738939975
-0.39,-0.418722241553285
-0.38,-0.408994833590809
-0.37,-0.399193046931771
-0.36,-0.38931829874884
-0.35,-0.379372045971622
-0.34,-0.369355784659193
-0.33,-0.359271049339629
-0.32,-0.34911941231693
-0.31,-0.33890248294582
-0.3,-0.328621906874903
-0.29,-0.318279365258737
-0.28,-0.307876573939361
-0.27,-0.297415282597912
-0.26,-0.286897273876944
-0.25,-0.27632436247415
-0.24,-0.265698394208159
-0.23,-0.255021245057173
-0.22,-0.244294820171195
-0.21,-0.233521052858662
-0.2,-0.222701903548297
-0.19,-0.211839358727046
-0.18,-0.200935429854989
-0.17,-0.189992152258125
-0.16,-0.179011583999989
-0.15,-0.167995804733043
-0.14,-0.156946914530847
-0.13,-0.145867032702002
-0.12,-0.134758296586918
-0.11,-0.123622860338435
-0.1,-0.112462893687391
-0.0899999999999999,-0.101280580694203
-0.0800000000000001,-0.0900781184875889
-0.0699999999999998,-0.0788577159915321
-0.0600000000000001,-0.0676215926416353
-0.0499999999999998,-0.0563719770920035
-0.04,-0.0451111059138231
-0.0299999999999998,-0.033841222286794
-0.02,-0.022564574684605
-0.00999999999999979,-0.011283415555623
0,0
0.0100000000000002,0.0112834155556235
0.02,0.022564574684605
0.0300000000000002,0.0338412222867945
0.04,0.0451111059138231
0.0500000000000003,0.056371977092004
0.0600000000000001,0.0676215926416353
0.0700000000000003,0.0788577159915326
0.0800000000000001,0.0900781184875889
0.0899999999999999,0.101280580694203
0.1,0.112462893687391
0.11,0.123622860338435
0.12,0.134758296586918
0.13,0.145867032702002
0.14,0.156946914530847
0.15,0.167995804733043
0.16,0.179011583999989
0.17,0.189992152258125
0.18,0.200935429854989
0.19,0.211839358727046
0.2,0.222701903548298
0.21,0.233521052858662
0.22,0.244294820171195
